frame,condition,region,pixel_frac,mean_w,min_w,frac_w_lt_0p99,frac_w_lt_0p95,frac_w_lt_0p90,mean_abs_st_minus_mono
0038:0001,clean,all,1.0,0.9997509121894836,0.9953122138977051,0.0,0.0,0.0,11.967174530029297
0038:0001,clean,valid,1.0,0.9997509121894836,0.9953122138977051,0.0,0.0,0.0,11.967174530029297
0038:0001,clean,sky,0.5084442515432098,0.9996559619903564,0.9953122138977051,0.0,0.0,0.0,8.502399444580078
0038:0001,clean,nonsky,0.4915557484567901,0.9998492002487183,0.9955999255180359,0.0,0.0,0.0,15.55099868774414
0038:0001,clean,textureless,0.17238136574074073,0.9994390606880188,0.9953122138977051,0.0,0.0,0.0,14.25194263458252
0038:0001,clean,textured,0.8276186342592593,0.9998156428337097,0.9954888820648193,0.0,0.0,0.0,11.491289138793945
0038:0001,fog,all,1.0,0.9987565279006958,0.9932578802108765,0.0,0.0,0.0,43.02741241455078
0038:0001,fog,valid,1.0,0.9987565279006958,0.9932578802108765,0.0,0.0,0.0,43.02741241455078
0038:0001,fog,sky,0.5084442515432098,0.9983354210853577,0.9932578802108765,0.0,0.0,0.0,71.89855194091797
0038:0001,fog,nonsky,0.4915557484567901,0.9991917610168457,0.9934386610984802,0.0,0.0,0.0,13.164401054382324
0038:0001,fog,textureless,0.6424213927469136,0.9982144236564636,0.9932578802108765,0.0,0.0,0.0,61.105743408203125
0038:0001,fog,textured,0.35757860725308643,0.9997297525405884,0.9944424033164978,0.0,0.0,0.0,10.548174858093262
0038:0001,frost,all,1.0,0.9997958540916443,0.9960551857948303,0.0,0.0,0.0,21.154497146606445
0038:0001,frost,valid,1.0,0.9997958540916443,0.9960551857948303,0.0,0.0,0.0,21.154497146606445
0038:0001,frost,sky,0.5084442515432098,0.9997455477714539,0.9960551857948303,0.0,0.0,0.0,23.085712432861328
0038:0001,frost,nonsky,0.4915557484567901,0.9998477101325989,0.9974821209907532,0.0,0.0,0.0,19.156940460205078
0038:0001,frost,textureless,0.0005160108024691358,0.9997919201850891,0.9983817934989929,0.0,0.0,0.0,15.738189697265625
0038:0001,frost,textured,0.9994839891975309,0.9997954368591309,0.9960551857948303,0.0,0.0,0.0,21.15729331970215
0038:0001,snow,all,1.0,0.9993497133255005,0.9953453540802002,0.0,0.0,0.0,6.320664405822754
0038:0001,snow,valid,1.0,0.9993497133255005,0.9953453540802002,0.0,0.0,0.0,6.320664405822754
0038:0001,snow,sky,0.5084442515432098,0.9990569949150085,0.9953453540802002,0.0,0.0,0.0,4.369795799255371
0038:0001,snow,nonsky,0.4915557484567901,0.9996522665023804,0.9969795346260071,0.0,0.0,0.0,8.338561058044434
0038:0001,snow,textureless,0.0021223958333333333,0.9992398023605347,0.9973669052124023,0.0,0.0,0.0,2.280381441116333
0038:0001,snow,textured,0.9978776041666667,0.9993501305580139,0.9953453540802002,0.0,0.0,0.0,6.329258441925049
0038:0024,clean,all,1.0,0.9997156858444214,0.9947652220726013,0.0,0.0,0.0,11.048741340637207
0038:0024,clean,valid,1.0,0.9997156858444214,0.9947652220726013,0.0,0.0,0.0,11.048741340637207
0038:0024,clean,sky,0.49019483024691357,0.9995877742767334,0.9947652220726013,0.0,0.0,0.0,6.170607566833496
0038:0024,clean,nonsky,0.5098051697530864,0.9998385906219482,0.9948468208312988,0.0,0.0,0.0,15.739230155944824
0038:0024,clean,textureless,0.16360001929012347,0.9993636608123779,0.9950201511383057,0.0,0.0,0.0,9.503494262695312
0038:0024,clean,textured,0.8363999807098765,0.9997842907905579,0.9947652220726013,0.0,0.0,0.0,11.350995063781738
0038:0024,fog,all,1.0,0.9990723133087158,0.994091272354126,0.0,0.0,0.0,17.987930297851562
0038:0024,fog,valid,1.0,0.9990723133087158,0.994091272354126,0.0,0.0,0.0,17.987930297851562
0038:0024,fog,sky,0.49019483024691357,0.9985794425010681,0.994091272354126,0.0,0.0,0.0,22.48023796081543
0038:0024,fog,nonsky,0.5098051697530864,0.999545693397522,0.9942203760147095,0.0,0.0,0.0,13.668417930603027
0038:0024,fog,textureless,0.6258174189814815,0.9987011551856995,0.9941436648368835,0.0,0.0,0.0,20.951128005981445
0038:0024,fog,textured,0.37418258101851853,0.9996925592422485,0.994091272354126,0.0,0.0,0.0,13.031997680664062
0038:0024,frost,all,1.0,0.9997200965881348,0.9969561100006104,0.0,0.0,0.0,13.576862335205078
0038:0024,frost,valid,1.0,0.9997200965881348,0.9969561100006104,0.0,0.0,0.0,13.576862335205078
0038:0024,frost,sky,0.49019483024691357,0.9996154308319092,0.9969561100006104,0.0,0.0,0.0,12.458403587341309
0038:0024,frost,nonsky,0.5098051697530864,0.9998210072517395,0.997599184513092,0.0,0.0,0.0,14.652298927307129
0038:0024,frost,textureless,0.06337384259259259,0.9995198845863342,0.9974608421325684,0.0,0.0,0.0,4.16501522064209
0038:0024,frost,textured,0.9366261574074074,0.9997339248657227,0.9969561100006104,0.0,0.0,0.0,14.213692665100098
0038:0024,snow,all,1.0,0.9993547201156616,0.9969541430473328,0.0,0.0,0.0,6.872062683105469
0038:0024,snow,valid,1.0,0.9993547201156616,0.9969541430473328,0.0,0.0,0.0,6.872062683105469
0038:0024,snow,sky,0.49019483024691357,0.9990226030349731,0.9969541430473328,0.0,0.0,0.0,3.7894983291625977
0038:0024,snow,nonsky,0.5098051697530864,0.9996746182441711,0.9975001811981201,0.0,0.0,0.0,9.836043357849121
0038:0024,snow,textureless,0.0027483603395061728,0.9993264079093933,0.9976827502250671,0.0,0.0,0.0,3.319864511489868
0038:0024,snow,textured,0.9972516396604938,0.9993550181388855,0.9969541430473328,0.0,0.0,0.0,6.881847858428955
0038:0048,clean,all,1.0,0.9996899366378784,0.9949170351028442,0.0,0.0,0.0,9.729098320007324
0038:0048,clean,valid,1.0,0.9996899366378784,0.9949170351028442,0.0,0.0,0.0,9.729098320007324
0038:0048,clean,sky,0.4705931712962963,0.9995405077934265,0.9949170351028442,0.0,0.0,0.0,4.592589855194092
0038:0048,clean,nonsky,0.5294068287037037,0.9998227953910828,0.9962127208709717,0.0,0.0,0.0,14.294971466064453
0038:0048,clean,textureless,0.16639564043209876,0.999316930770874,0.9952402710914612,0.0,0.0,0.0,6.328696250915527
0038:0048,clean,textured,0.8336043595679012,0.9997643828392029,0.9949170351028442,0.0,0.0,0.0,10.407852172851562
0038:0048,fog,all,1.0,0.9991663098335266,0.9941341280937195,0.0,0.0,0.0,18.389225006103516
0038:0048,fog,valid,1.0,0.9991663098335266,0.9941341280937195,0.0,0.0,0.0,18.389225006103516
0038:0048,fog,sky,0.4705931712962963,0.9987314343452454,0.9941341280937195,0.0,0.0,0.0,30.065332412719727
0038:0048,fog,nonsky,0.5294068287037037,0.9995520710945129,0.9943617582321167,0.0,0.0,0.0,8.010244369506836
0038:0048,fog,textureless,0.640191936728395,0.9988434910774231,0.9941461682319641,0.0,0.0,0.0,23.354936599731445
0038:0048,fog,textured,0.3598080632716049,0.9997392892837524,0.9941341280937195,0.0,0.0,0.0,9.553918838500977
0038:0048,frost,all,1.0,0.9996874332427979,0.9975311756134033,0.0,0.0,0.0,10.954788208007812
0038:0048,frost,valid,1.0,0.9996874332427979,0.9975311756134033,0.0,0.0,0.0,10.954788208007812
0038:0048,frost,sky,0.4705931712962963,0.9995559453964233,0.9975311756134033,0.0,0.0,0.0,8.423961639404297
0038:0048,frost,nonsky,0.5294068287037037,0.9998042583465576,0.9976288676261902,0.0,0.0,0.0,13.204450607299805
0038:0048,frost,textureless,0.07614052854938272,0.9994937777519226,0.9976339340209961,0.0,0.0,0.0,2.4199864864349365
0038:0048,frost,textured,0.9238594714506173,0.9997033476829529,0.9975311756134033,0.0,0.0,0.0,11.658188819885254
0038:0048,snow,all,1.0,0.9992884993553162,0.9958234429359436,0.0,0.0,0.0,5.719635486602783
