model,frame,condition,prediction,region,abs_err_vs_gt,n
E0,0038:0001,clean,fused,valid,0.5631550550460815,2073600
E0,0038:0001,clean,fused,sky,0.7995508313179016,1054310
E0,0038:0001,clean,fused,nonsky,0.3186378479003906,1019290
E0,0038:0001,clean,fused,textureless,0.5659664869308472,357450
E0,0038:0001,clean,fused,textured,0.5625700354576111,1716150
Full,0038:0001,clean,fused,valid,0.5647842884063721,2073600
Full,0038:0001,clean,fused,sky,0.7914546728134155,1054310
Full,0038:0001,clean,fused,nonsky,0.3303260803222656,1019290
Full,0038:0001,clean,fused,textureless,0.5563044548034668,357450
Full,0038:0001,clean,fused,textured,0.5665503144264221,1716150
Full,0038:0001,clean,stereo_only,valid,0.5647764801979065,2073600
Full,0038:0001,clean,stereo_only,sky,0.7914174795150757,1054310
Full,0038:0001,clean,stereo_only,nonsky,0.33034899830818176,1019290
Full,0038:0001,clean,stereo_only,textureless,0.5563319325447083,357450
Full,0038:0001,clean,stereo_only,textured,0.5665353536605835,1716150
Full,0038:0001,clean,mono_only,valid,12.33349609375,2073600
Full,0038:0001,clean,mono_only,sky,9.185297966003418,1054310
Full,0038:0001,clean,mono_only,nonsky,15.589864730834961,1019290
Full,0038:0001,clean,mono_only,textureless,14.727622985839844,357450
Full,0038:0001,clean,mono_only,textured,11.834840774536133,1716150
E0,0038:0001,fog,fused,valid,142.13177490234375,2073600
E0,0038:0001,fog,fused,sky,265.75213623046875,1054310
E0,0038:0001,fog,fused,nonsky,14.264039993286133,1019290
E0,0038:0001,fog,fused,textureless,220.95919799804688,1332125
E0,0038:0001,fog,fused,textured,0.5112553834915161,741475
Full,0038:0001,fog,fused,valid,44.227867126464844,2073600
Full,0038:0001,fog,fused,sky,81.15560150146484,1054310
Full,0038:0001,fog,fused,nonsky,6.031470775604248,1019290
Full,0038:0001,fog,fused,textureless,68.56570434570312,1332125
Full,0038:0001,fog,fused,textured,0.5028394460678101,741475
Full,0038:0001,fog,stereo_only,valid,44.22915267944336,2073600
Full,0038:0001,fog,stereo_only,sky,81.15802001953125,1054310
Full,0038:0001,fog,stereo_only,nonsky,6.031553268432617,1019290
Full,0038:0001,fog,stereo_only,textureless,68.56757354736328,1332125
Full,0038:0001,fog,stereo_only,textured,0.5030528903007507,741475
Full,0038:0001,fog,mono_only,valid,9.570752143859863,2073600
Full,0038:0001,fog,mono_only,sky,10.159751892089844,1054310
Full,0038:0001,fog,mono_only,nonsky,8.961515426635742,1019290
Full,0038:0001,fog,mono_only,textureless,9.032005310058594,1332125
Full,0038:0001,fog,mono_only,textured,10.538652420043945,741475
E0,0038:0001,frost,fused,valid,12.556601524353027,2073600
E0,0038:0001,frost,fused,sky,24.07657241821289,1054310
E0,0038:0001,frost,fused,nonsky,0.6408326029777527,1019290
E0,0038:0001,frost,fused,textureless,14.956184387207031,1070
E0,0038:0001,frost,fused,textured,12.5553560256958,2072530
Full,0038:0001,frost,fused,valid,0.6865672469139099,2073600
Full,0038:0001,frost,fused,sky,0.9174302816390991,1054310
Full,0038:0001,frost,fused,nonsky,0.4477722942829132,1019290
Full,0038:0001,frost,fused,textureless,0.5507903695106506,1070
Full,0038:0001,frost,fused,textured,0.6866374611854553,2072530
Full,0038:0001,frost,stereo_only,valid,0.6858665943145752,2073600
Full,0038:0001,frost,stereo_only,sky,0.9157201647758484,1054310
Full,0038:0001,frost,stereo_only,nonsky,0.4481159746646881,1019290
Full,0038:0001,frost,stereo_only,textureless,0.5510739088058472,1070
Full,0038:0001,frost,stereo_only,textured,0.6859361529350281,2072530
Full,0038:0001,frost,mono_only,valid,21.53837013244629,2073600
Full,0038:0001,frost,mono_only,sky,23.993528366088867,1054310
Full,0038:0001,frost,mono_only,nonsky,18.998868942260742,1019290
Full,0038:0001,frost,mono_only,textureless,16.18820571899414,1070
Full,0038:0001,frost,mono_only,textured,21.541133880615234,2072530
E0,0038:0001,snow,fused,valid,1.138179063796997,2073600
E0,0038:0001,snow,fused,sky,1.650309681892395,1054310
E0,0038:0001,snow,fused,nonsky,0.6084526777267456,1019290
E0,0038:0001,snow,fused,textureless,0.8577316403388977,4401
E0,0038:0001,snow,fused,textured,1.138775110244751,2069199
Full,0038:0001,snow,fused,valid,0.6249199509620667,2073600
Full,0038:0001,snow,fused,sky,0.7694171667098999,1054310
Full,0038:0001,snow,fused,nonsky,0.47545865178108215,1019290
Full,0038:0001,snow,fused,textureless,0.34421977400779724,4401
Full,0038:0001,snow,fused,textured,0.625516951084137,2069199
Full,0038:0001,snow,stereo_only,valid,0.6243784427642822,2073600
Full,0038:0001,snow,stereo_only,sky,0.768212080001831,1054310
Full,0038:0001,snow,stereo_only,nonsky,0.4756031036376953,1019290
Full,0038:0001,snow,stereo_only,textureless,0.3440747857093811,4401
Full,0038:0001,snow,stereo_only,textured,0.6249747276306152,2069199
Full,0038:0001,snow,mono_only,valid,6.677145004272461,2073600
Full,0038:0001,snow,mono_only,sky,5.060916423797607,1054310
Full,0038:0001,snow,mono_only,nonsky,8.348899841308594,1019290
Full,0038:0001,snow,mono_only,textureless,2.552490472793579,4401
Full,0038:0001,snow,mono_only,textured,6.685916900634766,2069199
E0,0038:0024,clean,fused,valid,0.5467765927314758,2073600
E0,0038:0024,clean,fused,sky,0.7875739336013794,1016468
E0,0038:0024,clean,fused,nonsky,0.31524139642715454,1057132
E0,0038:0024,clean,fused,textureless,0.5377477407455444,339241
E0,0038:0024,clean,fused,textured,0.5485425591468811,1734359
Full,0038:0024,clean,fused,valid,0.5472362041473389,2073600
Full,0038:0024,clean,fused,sky,0.7796103954315186,1016468
Full,0038:0024,clean,fused,nonsky,0.32380056381225586,1057132
