variant,seed,brightness,contrast,defocus_blur,elastic_transform,fog,frost,gaussian_blur,gaussian_noise,glass_blur,impulse_noise,jpeg_compression,motion_blur,pixelate,rain,saturate,shot_noise,snow,spatter,speckle_noise,zoom_blur
Full,2026,0.0504,0.0648,0.2539,1.1165,4.2883,1.1515,0.2148,0.4774,0.3224,0.4672,0.2885,0.6915,0.1359,0.1076,0.0533,0.4140,0.5487,0.4782,0.3867,1.5991
Full,2027,0.0503,0.0625,0.2559,1.1929,6.5797,0.8606,0.2153,0.5773,0.3283,0.5056,0.2937,0.6915,0.1348,0.1089,0.0537,0.4770,0.7044,0.4268,0.4977,1.6422
Full,2028,0.0512,0.0641,0.2617,1.1957,3.0613,0.7620,0.2213,0.4276,0.3469,0.4140,0.2854,0.6898,0.1362,0.1120,0.0566,0.3845,0.5188,0.4235,0.3689,1.6263
no correspondence dropout,2026,0.0497,0.0641,0.2561,1.0696,8.6656,1.2487,0.2166,0.5243,0.3242,0.5212,0.2920,0.8403,0.1358,0.1088,0.0545,0.4569,0.5793,0.4722,0.4277,1.5737
no correspondence dropout,2027,0.0506,0.0620,0.2482,1.0692,6.5747,2.2927,0.2085,0.4391,0.3179,0.4533,0.2801,1.1532,0.1358,0.1116,0.0534,0.3670,0.6367,0.3577,0.3501,1.6086
random-key dropout (control),2026,0.0504,0.0643,0.2584,1.1228,13.0409,4.3766,0.2178,0.5214,0.3144,0.5194,0.3435,1.3146,0.1347,0.1070,0.0558,0.4863,1.6661,1.0798,0.4362,1.5821
random-key dropout (control),2027,0.0494,0.0595,0.2424,0.9979,10.7346,2.9047,0.2048,0.4122,0.3210,0.4191,0.2858,0.8520,0.1331,0.1088,0.0529,0.3565,0.5376,0.5814,0.3343,1.6278
no L_delta,2026,0.0494,0.0582,0.2555,0.9978,7.7865,2.6721,0.2175,0.5865,0.3272,0.5567,0.3369,0.8273,0.1382,0.1073,0.0534,0.5275,0.8410,0.5354,0.5009,1.6105
no L_delta,2027,0.0505,0.0611,0.2479,1.0817,9.5575,1.9046,0.2093,0.5973,0.3293,0.5746,0.3272,0.7381,0.1401,0.1152,0.0546,0.5384,0.5445,0.4480,0.4883,1.6133
image-plane transport,2026,0.0508,0.0658,0.2498,1.1270,6.2402,1.9255,0.2091,0.6141,0.3161,0.4923,0.3060,0.8542,0.1383,0.1095,0.0565,0.4689,1.0962,0.7468,0.4681,1.6216
image-plane transport,2027,0.0514,0.0650,0.2601,1.2138,7.0455,1.1434,0.2201,0.6644,0.3273,0.5851,0.3030,0.8466,0.1375,0.1097,0.0551,0.5316,0.8475,0.9279,0.5848,1.6814
no teacher / anchor,2026,0.0524,0.0682,0.2618,1.2518,5.7309,2.9939,0.2144,0.5543,0.3116,0.5622,0.3610,0.8700,0.1383,0.1234,0.0571,0.5160,1.3927,0.8372,0.4533,1.6623
no teacher / anchor,2027,0.0500,0.0622,0.2577,1.0957,4.6034,2.0032,0.2143,0.5590,0.3055,0.5269,0.2786,0.8053,0.1331,0.1107,0.0545,0.5101,0.6676,0.3967,0.4671,1.6540
no mono head,2026,0.0498,0.0642,0.2516,1.0854,6.0041,1.3703,0.2115,0.5045,0.3235,0.4568,0.3084,0.7305,0.1341,0.1056,0.0553,0.3915,0.7605,0.5231,0.4218,1.5751
no mono head,2027,0.0499,0.0625,0.2521,1.1112,5.1172,0.8614,0.2134,0.5086,0.3286,0.5093,0.2903,0.6859,0.1352,0.1071,0.0520,0.4680,0.5776,0.3885,0.4114,1.6368
no sensor overlay,2026,0.0496,0.0672,0.2560,1.1318,6.1829,0.8191,0.2167,0.5041,0.3263,0.4823,0.3040,0.9753,0.1357,0.1135,0.0541,0.4324,0.7954,0.5992,0.4214,1.6049
no sensor overlay,2027,0.0500,0.0641,0.2532,1.1458,4.3087,0.6611,0.2146,0.6819,0.3253,0.4911,0.2839,0.6678,0.1366,0.1151,0.0528,0.4282,0.5225,0.6736,0.4316,1.6515
