variant,seed,n_seeds,clean_abs,dabs20,fog,frost,snow,dabs20_minus_full_mean,dabs20_diff_in_full_sd,source
Full,2026,1,0.2865,0.6555,4.2883,1.1515,0.5487,-0.0141,-0.13,outputs/track2/eval/r20_croco_X7
Full,2027,1,0.2857,0.7830,6.5797,0.8606,0.7044,+0.1133,+1.06,outputs/track2/eval/r20_croco_ABLseed2
Full,2028,1,0.2874,0.5704,3.0613,0.7620,0.5188,-0.0992,-0.93,outputs/track2/eval/r20_croco_ABLseed3
Full,mean,3,0.2865,0.6696,4.6431,0.9247,0.5907,+0.0000,+0.00,
Full,sd,3,0.0008,0.1070,1.7859,0.2025,0.0996,,,
no correspondence dropout,2026,1,0.2896,0.8941,8.6656,1.2487,0.5793,+0.2244,+2.10,outputs/track2/eval/r20_croco_ABLnodropout
no correspondence dropout,2027,1,0.2832,0.8385,6.5747,2.2927,0.6367,+0.1689,+1.58,outputs/track2/final_runs/no_dropout_seed2/eval/robust20
no correspondence dropout,mean,2,0.2864,0.8663,7.6202,1.7707,0.6080,+0.1967,+1.84,
no correspondence dropout,sd,2,0.0046,0.0393,1.4785,0.7383,0.0406,,,
no L_delta,2026,1,0.2788,0.9493,7.7865,2.6721,0.8410,+0.2797,+2.61,outputs/track2/eval/r20_croco_ABLnodelta
no L_delta,2027,1,0.2820,0.9811,9.5575,1.9046,0.5445,+0.3115,+2.91,outputs/track2/final_runs/no_ldelta_seed2/eval/robust20
no L_delta,mean,2,0.2804,0.9652,8.6720,2.2884,0.6927,+0.2956,+2.76,
no L_delta,sd,2,0.0023,0.0225,1.2523,0.5427,0.2097,,,
no mono head,2026,1,0.2870,0.7664,6.0041,1.3703,0.7605,+0.0968,+0.90,outputs/track2/eval/r20_croco_X6b
no mono head,2027,1,0.2819,0.6883,5.1172,0.8614,0.5776,+0.0187,+0.18,outputs/track2/eval/r20_croco_ABLnomonoS2
no mono head,mean,2,0.2845,0.7274,5.5606,1.1159,0.6690,+0.0577,+0.54,
no mono head,sd,2,0.0036,0.0552,0.6271,0.3599,0.1293,,,
no sensor overlay,2026,1,0.2932,0.7736,6.1829,0.8191,0.7954,+0.1040,+0.97,outputs/track2/eval/r20_croco_ABLnooverlay
no sensor overlay,2027,1,0.2853,0.6580,4.3087,0.6611,0.5225,-0.0116,-0.11,outputs/track2/eval/r20_croco_ABLnooverlayS2
no sensor overlay,mean,2,0.2893,0.7158,5.2458,0.7401,0.6589,+0.0462,+0.43,
no sensor overlay,sd,2,0.0056,0.0818,1.3253,0.1117,0.1930,,,
